Abilene Christian University,Private offering Doctorate,TX,Designated
Abraham Baldwin Agricultural College,Small public,GA,Designated
Abraham Lincoln University,Non traditional,CA,Designated
Adelphi University,Private offering Doctorate,NY,Designated
Adler Graduate School,Graduate school,MN,Designated
Advanced Technology Institute,Non traditional,VA,Designated
Aiken Technical College,Small community college,SC,Silver
Alabama Agricultural and Mechanical University,Small public,AL,Top Ten
Alamance Community College,Small community college,NC,Bronze
Albany Technical College,Small community college,GA,Silver
Albertus Magnus College,Private not offering Doctorate,CT,Gold
Alexandria Technical & Community College,Small community college,MN,Designated
Alfred State College,Private not offering Doctorate,NY,Gold
Alma College,Private not offering Doctorate,MI,Designated
Alvernia University,Private offering Doctorate,PA,Designated
American International College,Private offering Doctorate,MA,Designated
American Sentinel University,Non traditional,XX,Designated
Amherst College,Private not offering Doctorate,MA,Designated
Ancilla College,Online / Vocational,IN,Top Ten
Angelo State University,Large public,TX,Top Ten
Animal Behavior Institute,Non traditional,XX,Bronze
Anna Maria College,Non traditional,MA,Designated
AOMA Graduate School of Integrative Medicine,Non traditional,TX,Designated
Apex School Of Theology,Private offering Doctorate,NC,Designated
Appalachian State University,Large public,NC,Gold
Aquinas College,Private not offering Doctorate,MI,Designated
Arcadia University,Private offering Doctorate,PA,Designated
Arizona State University,Tier 1 research institution,AZ,Silver
Arizona State University at Skysong/Online,Large public,AZ,Designated
Arkansas State University,Large public,AR,Bronze
Arkansas Tech University,Large public,AR,Designated
Asher College - Las Vegas Campus,Non traditional,NV,Designated
Asher College- Sacramento Campus,Non traditional,CA,Bronze
Asher College-Dallas Campus,Non traditional,TX,Bronze
Asnuntuck Community College,Small community college,CT,Designated
Assumption College,Private not offering Doctorate,MA,Designated
At-Home Professions,Non traditional,XX,Designated
Athens State University,Small public,AL,Designated
Athens Technical College,Large community college,GA,Designated
Atlanta Technical College,Small community college,GA,Designated
Auburn University,Tier 2 research institution,AL,Bronze
Auburn University at Montgomery,Small public,AL,Bronze
Augsburg University,Private offering Doctorate,MN,Designated
Augustana University,Private not offering Doctorate,SD,Designated
Ave Maria School of Law,Private not offering Doctorate,FL,Designated
Aviation Institute of Maintenance,Non traditional,VA,Designated
Baker University,Private offering Doctorate,KS,Designated
Baldwin Wallace University,Private not offering Doctorate,OH,Silver
Ball State Online,Online / Vocational,XX,Top Ten
Ball State University,Tier 2 research institution,IN,Designated
Ball State University - Miller College of Business - MBA,Tier 2 research institution,IN,Designated
Barry University,Private offering Doctorate,FL,Designated
Barton College,Private not offering Doctorate,NC,Designated
Baruch College, City University of New York,Small public,NY,Designated
Belhaven University,Private offering Doctorate,MS,Designated
Bellevue University,Private offering Doctorate,NE,Designated
Belmont University,Private offering Doctorate,TN,Designated
Benedictine College,Private not offering Doctorate,KS,Designated
Benedictine University,Private offering Doctorate,IL,Designated
Benjamin N. Cardozo School of Law, Yeshiva University,Graduate school,NY,Silver
Berklee College of Music,Private not offering Doctorate,MA,Designated
Bethel University,Private offering Doctorate,MN,Designated
Black Hills State University,Small public,SD,Bronze
Blackhawk Technical College,Small community college,WI,Silver
Blackstone Career Institute,Online / Vocational,XX,Bronze
Bloomsburg University of Pennsylvania,Small public,PA,Bronze
